EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,BusinessTravel,DistanceFromHome,MonthlyIncome,PercentSalaryHike,StockOptionLevel,OverTime,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,JobInvolvement,JobLevel,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
1019,18,Male,Divorced,Research & Development,Research Scientist,Marketing,4,Travel_Rarely,4,7046,21,3,No,3,2,4,1,3,3,3,7,30,3,0,0,1,0,Yes
1020,41,Male,Married,Sales,Manager,Technical Degree,1,Travel_Rarely,17,13237,12,0,No,2,3,4,2,3,1,3,6,38,3,4,4,5,4,Yes
1021,24,Male,Single,Research & Development,Research Scientist,Medical,3,Travel_Rarely,13,16649,24,0,No,2,4,2,2,3,1,4,5,6,0,6,6,0,6,Yes
1022,42,Female,Single,Sales,Sales Executive,Marketing,4,Travel_Rarely,4,5945,20,1,No,4,2,4,2,3,3,3,5,38,2,24,9,2,7,No
1023,38,Male,Married,Sales,Manager,Human Resources,1,Travel_Rarely,3,8927,18,0,Yes,3,3,1,3,3,4,3,9,37,5,20,1,2,12,Yes
1024,32,Male,Divorced,Research & Development,Manager,Technical Degree,2,Travel_Rarely,12,13641,20,2,Yes,2,4,3,2,3,2,3,5,34,3,14,10,11,14,No
1025,18,Female,Married,Research & Development,Manager,Technical Degree,3,Travel_Rarely,22,16998,15,1,No,4,2,4,4,3,2,4,7,7,0,0,0,1,0,No
1026,29,Female,Single,Research & Development,Research Scientist,Life Sciences,5,Travel_Rarely,23,14386,23,2,No,4,2,3,1,4,4,1,0,11,5,11,11,6,11,No
1027,24,Male,Single,Sales,Manager,Human Resources,1,Travel_Rarely,8,8016,17,1,Yes,1,4,4,3,3,3,1,4,5,2,5,5,6,5,Yes
1028,32,Male,Single,Research & Development,Healthcare Representative,Human Resources,5,Travel_Frequently,2,15027,21,0,No,4,3,2,1,3,4,5,2,26,1,3,3,4,3,No
1029,38,Male,Single,Research & Development,Manager,Medical,3,Travel_Rarely,6,16920,14,1,No,2,3,1,3,4,2,3,7,25,2,20,8,9,5,Yes
1030,36,Male,Divorced,Sales,Manager,Human Resources,1,Travel_Frequently,22,14752,20,2,No,1,1,3,4,4,2,1,5,25,6,18,6,6,16,No
1031,46,Female,Divorced,Research & Development,Research Scientist,Life Sciences,1,Travel_Frequently,10,19268,16,1,No,1,4,2,3,3,2,5,1,10,2,5,5,6,5,Yes
1032,42,Female,Divorced,Sales,Manager,Medical,3,Travel_Rarely,12,19193,23,2,No,2,1,3,3,3,2,2,6,33,5,24,19,9,11,No
1033,50,Female,Single,Sales,Sales Executive,Human Resources,2,Non-Travel,21,4167,22,3,No,3,3,2,3,3,3,3,6,17,5,17,16,4,3,No
1034,49,Female,Single,Human Resources,Manager,Medical,1,Travel_Rarely,10,12989,24,0,Yes,4,2,1,1,3,2,1,4,20,4,14,2,3,9,No
1035,52,Male,Single,Human Resources,Manager,Human Resources,3,Non-Travel,10,15087,20,2,No,1,1,4,2,3,2,1,7,34,4,34,14,11,5,No
1036,55,Female,Married,Research & Development,Manager,Human Resources,4,Travel_Rarely,23,3437,14,3,Yes,3,3,2,1,4,3,1,4,31,5,31,13,9,6,No
1037,43,Female,Single,Sales,Sales Representative,Other,5,Travel_Rarely,3,16275,25,0,No,2,3,3,2,3,4,5,0,8,5,8,7,8,7,Yes
1038,28,Male,Divorced,Sales,Manager,Human Resources,1,Travel_Rarely,20,6276,16,3,No,4,2,3,1,3,3,2,8,22,1,10,3,4,2,Yes
1039,52,Male,Divorced,Research & Development,Manager,Technical Degree,4,Non-Travel,10,9859,11,2,No,4,4,2,4,3,2,3,3,9,1,9,9,0,7,No
1040,25,Male,Divorced,Research & Development,Laboratory Technician,Human Resources,1,Travel_Rarely,29,8818,16,0,No,1,3,1,4,3,1,1,1,8,2,7,1,2,7,No
1041,31,Male,Married,Sales,Sales Executive,Technical Degree,2,Travel_Frequently,9,5728,16,3,No,4,1,1,3,3,3,4,3,9,6,5,5,3,0,No
1042,27,Female,Divorced,Research & Development,Healthcare Representative,Marketing,3,Travel_Frequently,20,6738,12,2,Yes,4,2,4,4,3,3,3,8,9,3,2,2,3,2,No
1043,19,Female,Married,Sales,Sales Executive,Other,1,Travel_Rarely,19,6793,22,3,No,4,4,4,3,3,4,4,1,13,6,1,1,2,1,No
1044,26,Female,Married,Human Resources,Human Resources,Life Sciences,3,Travel_Rarely,14,5523,20,0,No,4,4,3,2,3,2,5,3,35,1,8,8,9,8,No
1045,20,Female,Married,Sales,Sales Representative,Medical,1,Travel_Rarely,2,6571,20,0,No,2,4,3,4,3,1,1,1,9,2,2,2,1,2,No
1046,38,Female,Single,Research & Development,Healthcare Representative,Medical,2,Travel_Rarely,5,17209,19,0,Yes,3,3,4,2,3,3,3,4,36,6,3,3,0,3,No
1047,43,Male,Single,Sales,Sales Executive,Marketing,2,Travel_Frequently,20,16246,25,2,No,2,4,4,1,3,3,3,2,37,0,3,3,4,2,No
1048,25,Male,Divorced,Research & Development,Laboratory Technician,Human Resources,4,Non-Travel,29,11380,16,3,No,2,3,4,2,3,3,1,9,21,4,7,7,5,7,No
1049,19,Female,Divorced,Research & Development,Laboratory Technician,Life Sciences,2,Travel_Frequently,29,3224,22,3,No,1,2,2,1,3,1,2,1,22,6,1,1,2,1,No
1050,23,Female,Married,Sales,Sales Executive,Marketing,3,Non-Travel,8,9389,25,2,No,4,2,4,2,4,3,5,8,15,3,4,4,5,3,No
1051,45,Female,Single,Human Resources,Manager,Marketing,2,Travel_Rarely,7,16927,21,0,No,2,4,2,2,3,3,1,4,27,2,27,13,12,2,No
1052,46,Male,Divorced,Research & Development,Research Scientist,Medical,1,Travel_Rarely,6,12684,23,1,No,4,2,2,4,3,1,3,9,34,6,21,9,10,4,No
1053,43,Female,Divorced,Human Resources,Human Resources,Technical Degree,2,Non-Travel,11,11640,17,0,No,2,1,4,2,3,3,2,4,19,5,5,3,4,5,No
1054,42,Female,Single,Research & Development,Healthcare Representative,Technical Degree,3,Non-Travel,12,9662,12,1,No,2,1,1,4,3,1,3,0,36,0,24,14,7,7,No
1055,29,Male,Married,Research & Development,Research Scientist,Human Resources,1,Travel_Rarely,18,7361,12,0,No,1,3,1,4,3,4,4,5,11,4,11,7,8,1,No
1056,22,Female,Divorced,Human Resources,Manager,Human Resources,4,Travel_Rarely,19,2948,12,2,No,3,4,3,3,4,1,3,6,35,0,0,0,1,0,No
1057,51,Male,Divorced,Sales,Manager,Marketing,4,Travel_Frequently,10,13091,20,1,No,3,3,4,3,3,4,5,0,19,2,19,13,12,9,No
1058,54,Male,Single,Sales,Manager,Human Resources,4,Travel_Rarely,25,12992,23,2,Yes,2,2,3,1,3,1,1,8,21,1,21,8,1,17,Yes
1059,32,Female,Single,Sales,Manager,Technical Degree,1,Travel_Rarely,29,7318,21,1,No,1,4,4,2,3,2,3,7,25,4,10,10,1,6,No
1060,53,Male,Married,Sales,Sales Executive,Life Sciences,4,Travel_Rarely,25,13180,19,3,Yes,4,3,3,1,3,3,4,7,19,0,12,2,3,4,No
1061,32,Male,Married,Research & Development,Research Scientist,Medical,2,Non-Travel,21,1234,13,1,No,4,4,2,2,3,4,4,6,38,1,2,2,0,2,No
1062,40,Female,Divorced,Sales,Sales Executive,Technical Degree,1,Travel_Frequently,14,16372,23,1,No,2,4,4,3,3,3,1,4,32,3,8,8,5,5,No
1063,23,Female,Married,Research & Development,Healthcare Representative,Other,1,Travel_Frequently,3,1522,14,1,No,3,3,1,3,3,3,4,2,29,2,5,5,6,0,No
1064,38,Male,Divorced,Research & Development,Healthcare Representative,Human Resources,1,Travel_Rarely,18,13718,11,3,No,1,4,4,2,3,1,1,8,20,2,20,3,4,10,No
1065,40,Female,Divorced,Sales,Manager,Medical,5,Travel_Rarely,24,10821,11,2,No,3,2,3,2,4,2,5,6,13,4,13,10,2,12,Yes
1066,33,Male,Single,Research & Development,Laboratory Technician,Other,3,Travel_Rarely,15,6832,14,3,Yes,4,1,3,3,3,1,1,9,29,0,15,7,8,11,No
1067,32,Female,Divorced,Sales,Sales Executive,Medical,5,Non-Travel,6,13820,24,1,No,3,1,3,3,3,3,2,9,14,3,14,2,3,0,No
1068,42,Female,Single,Research & Development,Manager,Marketing,5,Travel_Rarely,10,17211,12,0,No,4,4,3,1,3,1,4,7,11,5,8,8,4,8,Yes
1069,53,Male,Divorced,Sales,Manager,Human Resources,5,Travel_Rarely,27,8122,18,3,No,1,1,3,3,3,4,4,5,39,4,22,13,7,0,No
1070,28,Male,Divorced,Human Resources,Human Resources,Marketing,3,Travel_Frequently,12,6842,23,0,No,1,4,3,2,3,2,3,4,9,5,9,8,6,2,No
1071,32,Male,Divorced,Research & Development,Research Scientist,Medical,5,Travel_Rarely,7,2316,14,3,No,2,3,1,1,3,3,2,7,14,4,14,2,3,14,No
1072,21,Male,Married,Sales,Sales Representative,Marketing,4,Non-Travel,17,14200,13,3,Yes,2,2,3,2,3,1,3,2,7,0,3,3,4,3,Yes
1073,38,Female,Married,Sales,Sales Representative,Human Resources,1,Travel_Rarely,1,18508,13,1,No,3,1,1,4,3,4,1,6,25,3,20,3,3,13,Yes
1074,30,Male,Single,Research & Development,Healthcare Representative,Technical Degree,1,Travel_Rarely,26,16206,16,2,No,1,3,4,1,3,2,5,1,39,0,12,10,7,7,No
1075,39,Male,Divorced,Research & Development,Laboratory Technician,Life Sciences,2,Travel_Rarely,18,19971,22,2,Yes,1,2,2,2,3,1,4,2,21,2,21,18,10,3,Yes
1076,36,Female,Single,Research & Development,Laboratory Technician,Other,4,Travel_Frequently,26,2378,23,1,No,2,1,1,3,3,1,5,1,20,5,18,15,10,5,No
1077,51,Male,Single,Research & Development,Research Scientist,Technical Degree,3,Travel_Frequently,15,2519,16,3,No,4,1,4,4,3,3,1,4,33,1,33,16,9,0,No
1078,31,Male,Divorced,Sales,Manager,Medical,1,Travel_Rarely,19,8935,16,2,No,3,2,2,2,4,4,1,6,39,6,13,9,10,13,No
1079,21,Male,Married,Research & Development,Research Scientist,Technical Degree,5,Travel_Rarely,28,7093,16,2,Yes,3,3,1,1,3,2,2,9,25,2,3,3,4,3,Yes
1080,44,Female,Married,Sales,Manager,Marketing,2,Non-Travel,1,6355,18,2,Yes,2,3,1,2,3,1,3,9,20,2,13,13,1,13,Yes
1081,46,Female,Single,Research & Development,Manager,Human Resources,2,Travel_Rarely,5,10083,18,1,No,1,1,4,4,3,2,4,0,28,5,28,19,6,10,No
1082,45,Female,Married,Research & Development,Manager,Technical Degree,1,Travel_Rarely,15,6574,19,0,Yes,2,2,3,1,3,4,4,9,24,4,24,5,4,16,Yes
1083,52,Male,Divorced,Sales,Manager,Technical Degree,4,Travel_Rarely,3,14324,11,0,No,2,3,1,4,3,3,5,8,36,2,13,6,7,8,Yes
1084,25,Male,Divorced,Sales,Manager,Human Resources,2,Travel_Frequently,1,3257,20,0,No,2,2,1,2,4,3,2,0,7,6,7,7,5,6,Yes
1085,33,Male,Married,Sales,Manager,Marketing,1,Travel_Rarely,8,14411,18,0,No,2,2,4,3,3,3,1,0,39,3,15,10,2,13,No
1086,59,Male,Married,Sales,Manager,Life Sciences,4,Travel_Rarely,12,16233,15,0,No,4,1,3,3,3,2,2,9,27,2,9,9,10,9,No
1087,53,Male,Single,Research & Development,Research Scientist,Technical Degree,1,Non-Travel,27,16887,13,2,No,4,2,2,2,3,2,4,7,34,3,34,13,9,7,No
1088,47,Male,Married,Research & Development,Laboratory Technician,Other,1,Travel_Rarely,22,3005,21,2,Yes,1,2,3,2,3,1,3,5,39,0,10,4,5,10,Yes
1089,35,Male,Single,Research & Development,Healthcare Representative,Medical,4,Travel_Rarely,25,19400,20,3,No,2,4,3,2,3,4,5,5,10,4,10,4,5,10,No
1090,19,Female,Divorced,Research & Development,Laboratory Technician,Marketing,4,Travel_Rarely,19,11860,13,2,No,4,2,4,1,3,4,1,8,10,3,1,1,1,1,No
1091,30,Male,Divorced,Sales,Sales Executive,Marketing,4,Non-Travel,25,11070,16,1,No,1,3,3,4,3,4,1,3,38,2,12,12,0,4,Yes
1092,21,Male,Divorced,Research & Development,Research Scientist,Technical Degree,1,Travel_Frequently,25,10388,18,3,No,2,1,4,4,4,2,1,7,17,4,3,0,1,3,No
1093,43,Female,Married,Research & Development,Healthcare Representative,Other,2,Travel_Rarely,12,19156,20,2,No,3,1,2,4,3,3,3,3,26,6,6,6,1,6,No
1094,42,Male,Married,Research & Development,Research Scientist,Human Resources,3,Travel_Frequently,13,19135,12,3,No,4,2,1,2,3,4,4,1,16,4,16,2,3,5,No
1095,47,Male,Married,Research & Development,Manager,Technical Degree,3,Travel_Rarely,28,15609,22,3,No,1,2,1,4,4,1,4,7,35,3,1,1,2,1,No
1096,28,Female,Single,Research & Development,Healthcare Representative,Technical Degree,1,Non-Travel,1,17363,19,0,Yes,3,3,4,2,3,2,2,6,20,3,10,10,10,10,Yes
1097,24,Female,Single,Research & Development,Research Scientist,Human Resources,1,Travel_Rarely,19,17923,15,3,No,2,4,4,1,3,3,2,3,27,1,6,6,7,6,No
1098,48,Male,Single,Research & Development,Healthcare Representative,Medical,2,Travel_Frequently,6,15823,15,2,No,2,1,3,3,3,4,4,8,10,1,10,10,2,10,No
1099,27,Female,Divorced,Sales,Sales Representative,Human Resources,4,Travel_Rarely,8,18845,11,0,No,2,4,3,2,3,3,1,8,13,4,9,9,10,8,No
1100,56,Male,Single,Sales,Sales Executive,Technical Degree,1,Travel_Rarely,4,9547,16,2,No,4,3,1,2,4,1,3,7,19,5,17,17,3,15,No
1101,30,Female,Married,Sales,Sales Representative,Life Sciences,5,Travel_Frequently,5,12515,23,0,No,1,1,1,3,4,4,4,0,12,5,12,12,7,3,No
1102,48,Female,Married,Research & Development,Healthcare Representative,Human Resources,4,Travel_Rarely,25,1234,21,2,No,3,3,1,3,4,4,3,6,26,1,25,15,2,1,Yes
1103,24,Male,Divorced,Sales,Sales Representative,Medical,1,Travel_Rarely,22,15562,21,0,No,1,2,4,1,3,3,5,4,6,2,6,1,2,6,No
1104,59,Female,Married,Research & Development,Manager,Human Resources,5,Travel_Frequently,28,18932,15,0,Yes,4,3,2,4,3,2,1,6,36,0,5,5,1,5,No
1105,59,Female,Married,Human Resources,Human Resources,Human Resources,2,Travel_Rarely,7,8480,17,1,No,1,2,2,2,4,3,5,8,17,4,11,6,2,11,Yes
1106,53,Male,Married,Sales,Sales Executive,Marketing,5,Travel_Rarely,23,5213,17,2,No,4,4,4,4,4,1,4,1,30,0,12,12,0,3,No
1107,37,Female,Single,Research & Development,Laboratory Technician,Marketing,1,Non-Travel,4,11293,14,3,Yes,2,1,3,2,3,3,2,3,38,1,3,3,4,3,Yes
1108,21,Male,Single,Research & Development,Laboratory Technician,Technical Degree,3,Travel_Rarely,20,2673,15,0,No,3,1,2,1,3,3,4,3,9,3,3,3,3,3,Yes
1109,24,Male,Married,Sales,Sales Representative,Technical Degree,1,Travel_Rarely,4,3100,20,2,No,2,4,3,3,3,4,5,1,8,6,1,1,2,1,Yes
1110,18,Female,Married,Sales,Sales Executive,Human Resources,3,Travel_Frequently,15,12849,24,0,Yes,1,2,1,1,3,2,3,2,27,4,0,0,1,0,Yes
1111,59,Male,Married,Sales,Sales Representative,Life Sciences,2,Non-Travel,27,19199,18,1,No,2,1,1,3,3,2,4,7,27,1,26,16,6,3,No
1112,30,Male,Married,Sales,Manager,Other,2,Travel_Rarely,21,4841,12,1,No,3,3,3,4,4,2,2,8,12,2,12,7,1,6,No
1113,39,Female,Single,Human Resources,Manager,Technical Degree,4,Travel_Rarely,5,11197,11,1,Yes,2,2,1,4,4,2,5,5,17,6,14,1,2,13,No
1114,38,Female,Divorced,Research & Development,Laboratory Technician,Human Resources,4,Travel_Frequently,24,9016,24,1,No,3,1,4,1,3,3,4,9,11,4,7,7,8,7,No
1115,39,Female,Married,Research & Development,Laboratory Technician,Human Resources,3,Travel_Rarely,9,8011,16,3,Yes,3,3,3,3,3,4,5,1,7,4,6,2,3,4,No
1116,45,Male,Single,Research & Development,Research Scientist,Other,3,Travel_Rarely,2,5493,21,3,No,2,3,3,1,3,4,5,1,27,5,27,7,8,8,Yes
1117,26,Male,Married,Research & Development,Manager,Human Resources,2,Non-Travel,27,18058,24,0,Yes,4,1,3,3,3,2,1,6,8,3,8,1,2,2,No
1118,43,Male,Divorced,Sales,Sales Representative,Other,5,Travel_Rarely,7,9578,14,2,No,1,4,2,3,3,3,3,7,12,4,12,12,10,9,No
1119,26,Male,Single,Research & Development,Manager,Other,3,Travel_Rarely,17,3158,23,1,No,4,4,3,4,3,2,1,7,14,3,8,8,1,8,Yes
1120,32,Female,Single,Research & Development,Manager,Human Resources,3,Travel_Rarely,16,3064,20,1,Yes,4,1,3,4,4,2,5,5,14,1,14,4,4,14,Yes
1121,27,Female,Divorced,Research & Development,Healthcare Representative,Human Resources,5,Travel_Rarely,17,4253,13,3,No,2,3,3,3,4,4,2,9,17,2,9,9,1,5,No
1122,41,Male,Divorced,Research & Development,Research Scientist,Marketing,4,Travel_Rarely,20,13828,17,3,No,1,4,2,3,3,4,2,7,37,6,20,16,10,2,No
1123,59,Male,Single,Sales,Sales Representative,Other,4,Travel_Rarely,26,2401,18,1,No,1,4,1,3,3,2,1,0,25,6,7,7,4,7,Yes
1124,25,Female,Divorced,Sales,Sales Representative,Medical,3,Travel_Frequently,23,16193,21,2,No,4,4,2,4,4,3,2,8,37,2,4,4,5,4,No
1125,41,Female,Married,Sales,Manager,Other,4,Travel_Frequently,2,13096,22,0,No,2,2,4,4,3,2,5,0,32,4,23,5,5,12,Yes
1126,33,Male,Divorced,Research & Development,Laboratory Technician,Medical,4,Travel_Rarely,11,5214,14,0,Yes,1,4,3,2,3,4,4,2,20,4,15,10,3,0,No
1127,43,Female,Divorced,Research & Development,Research Scientist,Human Resources,4,Travel_Rarely,2,12023,22,0,Yes,4,1,4,3,3,4,5,8,25,1,25,1,2,16,No
1128,44,Male,Single,Research & Development,Manager,Technical Degree,2,Travel_Frequently,1,12950,22,0,No,1,1,2,2,3,3,4,4,26,5,26,11,1,2,Yes
1129,54,Female,Divorced,Sales,Manager,Life Sciences,1,Travel_Rarely,26,11704,25,2,No,2,2,1,3,3,2,2,8,28,5,28,11,6,11,Yes
1130,21,Female,Single,Research & Development,Research Scientist,Human Resources,3,Travel_Rarely,2,11343,20,2,No,2,2,1,4,3,2,3,8,18,5,3,3,4,3,No
1131,41,Female,Married,Research & Development,Manager,Life Sciences,3,Non-Travel,29,12867,22,2,No,2,1,3,2,4,1,3,5,37,3,23,11,9,7,Yes
1132,36,Male,Divorced,Sales,Sales Executive,Marketing,2,Travel_Rarely,23,3745,21,3,No,1,2,1,2,3,2,5,0,24,5,18,17,8,14,No
1133,53,Male,Divorced,Sales,Manager,Medical,1,Travel_Rarely,9,4866,21,1,No,3,4,2,1,4,3,5,9,38,2,22,12,0,10,No
1134,56,Male,Single,Sales,Sales Executive,Marketing,1,Non-Travel,22,12956,25,2,No,1,3,2,3,4,4,2,6,15,6,15,14,2,0,Yes
1135,27,Female,Single,Human Resources,Manager,Technical Degree,2,Travel_Rarely,26,6818,16,0,Yes,3,3,1,4,3,1,3,5,9,6,9,9,6,9,No
1136,42,Female,Divorced,Sales,Sales Executive,Technical Degree,5,Travel_Rarely,2,19606,23,2,No,2,3,3,1,3,3,3,8,33,3,9,3,4,9,No
1137,35,Female,Single,Research & Development,Research Scientist,Other,5,Travel_Rarely,28,17093,21,1,No,4,1,3,1,3,3,5,6,9,1,6,6,7,6,No
1138,36,Female,Divorced,Research & Development,Manager,Human Resources,1,Travel_Rarely,15,16493,21,3,No,3,2,2,3,3,1,3,3,26,2,18,16,8,5,No
1139,53,Female,Married,Research & Development,Laboratory Technician,Other,5,Travel_Frequently,10,18908,25,0,Yes,2,3,1,1,3,2,5,6,28,6,28,0,1,3,Yes
1140,27,Male,Divorced,Human Resources,Human Resources,Technical Degree,5,Travel_Frequently,15,9224,12,3,No,2,4,2,3,3,1,1,1,26,2,2,2,3,2,No
1141,50,Female,Married,Human Resources,Manager,Technical Degree,5,Travel_Rarely,10,5025,18,2,No,3,4,2,1,3,3,3,5,14,6,14,14,6,2,No
1142,22,Male,Married,Sales,Sales Executive,Other,1,Travel_Rarely,29,19950,16,0,Yes,4,4,4,3,3,2,4,5,19,0,4,0,1,3,No
1143,52,Male,Single,Research & Development,Manager,Marketing,5,Non-Travel,25,7155,21,0,No,2,2,2,4,4,4,2,1,24,1,18,9,9,12,Yes
1144,51,Male,Single,Sales,Manager,Life Sciences,3,Travel_Rarely,23,14839,19,2,No,3,3,3,3,3,1,5,3,12,1,12,12,6,1,No
1145,50,Male,Single,Sales,Sales Representative,Medical,1,Travel_Rarely,27,1719,21,2,No,4,4,1,3,3,3,3,7,20,0,20,15,3,10,No
1146,38,Female,Single,Sales,Sales Executive,Technical Degree,2,Travel_Rarely,17,15890,23,1,No,4,2,1,2,3,2,3,7,20,3,20,13,4,15,No
1147,34,Male,Divorced,Research & Development,Laboratory Technician,Other,5,Travel_Rarely,28,18356,23,2,No,2,4,4,4,3,3,5,7,16,6,16,1,1,9,No
1148,39,Male,Married,Research & Development,Healthcare Representative,Technical Degree,4,Travel_Rarely,9,19591,16,2,Yes,1,3,4,4,3,2,4,7,21,6,21,5,6,14,Yes
1149,54,Female,Divorced,Sales,Sales Representative,Marketing,1,Travel_Rarely,18,5426,16,2,Yes,1,3,3,4,3,2,3,0,34,6,19,4,5,9,No
1150,32,Female,Married,Sales,Sales Executive,Medical,2,Travel_Frequently,4,13512,22,0,No,2,3,4,1,3,1,1,1,14,5,14,11,12,1,Yes
1151,52,Male,Married,Human Resources,Human Resources,Marketing,3,Travel_Frequently,9,16064,12,1,No,4,3,2,2,3,4,2,3,20,5,5,3,4,5,No
1152,45,Male,Married,Sales,Sales Representative,Life Sciences,2,Travel_Rarely,16,14767,15,0,Yes,2,3,2,4,3,2,5,8,27,5,27,3,0,13,No
1153,24,Male,Divorced,Sales,Sales Representative,Marketing,5,Travel_Rarely,4,12308,19,2,No,3,4,3,1,3,3,3,2,9,5,1,1,1,1,No
1154,49,Female,Single,Research & Development,Healthcare Representative,Medical,4,Travel_Rarely,16,12477,11,1,No,1,3,1,1,3,2,2,5,37,5,21,6,7,9,Yes
1155,28,Female,Divorced,Human Resources,Human Resources,Medical,5,Travel_Rarely,19,13903,14,2,No,3,4,3,1,3,4,5,6,10,0,10,5,2,10,No
1156,27,Male,Married,Sales,Sales Representative,Technical Degree,2,Travel_Rarely,1,9680,20,0,No,2,3,4,2,4,3,5,7,31,1,9,9,6,7,No
1157,26,Female,Divorced,Research & Development,Healthcare Representative,Life Sciences,1,Travel_Rarely,23,3204,20,0,No,2,4,1,1,3,2,5,6,32,3,8,3,4,8,No
1158,31,Male,Married,Research & Development,Healthcare Representative,Human Resources,4,Travel_Rarely,6,2102,24,2,Yes,4,3,1,2,4,2,4,2,19,2,4,4,5,4,Yes
1159,30,Male,Single,Sales,Sales Executive,Technical Degree,4,Travel_Rarely,10,6243,13,1,No,4,4,1,3,3,1,1,5,35,5,12,3,4,9,Yes
1160,42,Male,Single,Research & Development,Healthcare Representative,Other,2,Non-Travel,16,7614,11,0,No,4,3,4,1,3,4,5,4,29,0,24,9,10,12,No
1161,19,Male,Divorced,Research & Development,Laboratory Technician,Marketing,5,Travel_Rarely,4,17299,11,2,No,3,2,2,4,3,2,4,9,9,6,1,1,2,0,No
1162,52,Female,Single,Research & Development,Research Scientist,Marketing,2,Travel_Rarely,22,9707,25,3,No,4,4,2,1,3,4,5,3,22,3,22,0,1,9,No
1163,24,Male,Married,Research & Development,Research Scientist,Medical,4,Travel_Rarely,22,14913,11,2,No,2,2,4,3,3,2,5,0,28,3,6,6,3,6,No
1164,38,Male,Married,Research & Development,Research Scientist,Other,2,Travel_Rarely,13,1630,11,2,No,4,4,4,3,4,3,4,6,12,3,12,6,7,12,No
1165,35,Male,Single,Sales,Sales Representative,Medical,4,Travel_Frequently,16,12908,25,1,No,1,4,3,1,3,4,1,7,20,0,17,4,5,13,No
